NAME,DP03_0025E,DP03_0021PE,DP03_0062E,DP03_0128PE,DP03_0009PE,DP03_0024PE,state,county,tract,Borough,CensusTract
"Census Tract 30.02, New York County, New York",29.6,59.5,50625,18.7,3.9,3.1,36,061,003002,Manhattan,36061003002
"Census Tract 63, New York County, New York",25.6,57.2,113284,4.0,5.8,5.9,36,061,006300,Manhattan,36061006300
"Census Tract 178, New York County, New York",36.5,69.8,32896,24.6,7.6,4.0,36,061,017800,Manhattan,36061017800
"Census Tract 188, New York County, New York",34.0,71.6,29146,29.7,12.5,1.2,36,061,018800,Manhattan,36061018800
"Census Tract 203, New York County, New York",22.2,35.4,36667,26.6,6.7,10.2,36,061,020300,Manhattan,36061020300
"Census Tract 139, New York County, New York",30.0,56.2,91952,7.3,5.7,10.4,36,061,013900,Manhattan,36061013900
"Census Tract 145, New York County, New York",25.4,50.9,161685,4.4,4.7,10.7,36,061,014500,Manhattan,36061014500
"Census Tract 147, New York County, New York",24.5,48.5,137328,3.0,3.8,5.7,36,061,014700,Manhattan,36061014700
"Census Tract 64, New York County, New York",25.0,56.2,96090,8.6,4.3,6.6,36,061,006400,Manhattan,36061006400
"Census Tract 65, New York County, New York",22.7,59.6,97718,12.3,3.4,6.1,36,061,006500,Manhattan,36061006500
"Census Tract 297, New York County, New York",-666666666.0,-666666666.0,-666666666,-666666666.0,-666666666.0,-666666666.0,36,061,029700,Manhattan,36061029700
"Census Tract 197.02, New York County, New York",31.2,67.7,63135,25.7,5.5,15.6,36,061,019702,Manhattan,36061019702
"Census Tract 351, Bronx County, New York",45.2,43.2,71913,17.1,14.1,7.5,36,005,035100,Bronx,36005035100
"Census Tract 367, Bronx County, New York",40.3,61.2,23720,49.8,15.4,2.4,36,005,036700,Bronx,36005036700
"Census Tract 381, Bronx County, New York",45.4,65.0,25891,34.3,19.5,7.2,36,005,038100,Bronx,36005038100
"Census Tract 388, Bronx County, New York",42.6,45.3,51298,20.5,24.5,1.5,36,005,038800,Bronx,36005038800
"Census Tract 397, Bronx County, New York",29.1,36.3,21228,51.0,9.2,10.1,36,005,039700,Bronx,36005039700
"Census Tract 399.01, Bronx County, New York",45.5,72.8,22747,47.4,18.1,6.2,36,005,039901,Bronx,36005039901
"Census Tract 409, Bronx County, New York",47.4,71.4,46278,17.1,13.8,0.0,36,005,040900,Bronx,36005040900
"Census Tract 420, Bronx County, New York",47.2,66.5,28125,25.2,10.5,0.6,36,005,042000,Bronx,36005042000
"Census Tract 424, Bronx County, New York",56.4,55.1,57716,14.3,10.1,3.2,36,005,042400,Bronx,36005042400
"Census Tract 435, Bronx County, New York",-999999999.0,100.0,42750,0.0,0.0,0.0,36,005,043500,Bronx,36005043500
"Census Tract 428, Bronx County, New York",41.7,36.3,63017,9.3,7.8,5.5,36,005,042800,Bronx,36005042800
"Census Tract 411, Bronx County, New York",37.6,61.5,41047,21.4,14.1,0.0,36,005,041100,Bronx,36005041100
"Census Tract 413, Bronx County, New York",40.8,65.3,38796,21.9,13.8,1.8,36,005,041300,Bronx,36005041300
"Census Tract 419, Bronx County, New York",48.8,71.1,45127,20.6,11.6,0.5,36,005,041900,Bronx,36005041900
"Census Tract 515, Queens County, New York",39.4,42.4,69560,10.2,4.2,1.4,36,081,051500,Queens,36081051500
"Census Tract 516, Queens County, New York",47.8,43.3,54620,9.3,22.7,0.0,36,081,051600,Queens,36081051600
"Census Tract 526, Queens County, New York",54.8,51.7,60729,24.6,17.3,0.0,36,081,052600,Queens,36081052600
"Census Tract 554, Queens County, New York",48.1,50.5,63542,8.9,6.6,0.0,36,081,055400,Queens,36081055400
"Census Tract 532, Queens County, New York",49.7,33.1,86950,4.9,17.2,0.7,36,081,053200,Queens,36081053200
"Census Tract 538, Queens County, New York",46.2,39.8,74844,6.6,9.7,1.9,36,081,053800,Queens,36081053800
"Census Tract 547, Queens County, New York",44.4,68.5,53465,26.4,4.1,6.1,36,081,054700,Queens,36081054700
"Census Tract 557, Queens County, New York",38.8,56.3,42147,20.6,9.3,1.0,36,081,055700,Queens,36081055700
"Census Tract 558, Queens County, New York",39.1,42.4,81600,5.1,8.3,0.0,36,081,055800,Queens,36081055800
"Census Tract 559, Queens County, New York",36.6,72.5,60625,26.6,11.5,0.0,36,081,055900,Queens,36081055900
"Census Tract 561, Queens County, New York",35.3,40.0,112188,0.0,0.0,0.0,36,081,056100,Queens,36081056100
"Census Tract 277, Bronx County, New York",36.5,64.5,33095,33.5,14.6,1.7,36,005,027700,Bronx,36005027700
"Census Tract 285, Bronx County, New York",42.1,54.9,54232,17.1,5.7,2.9,36,005,028500,Bronx,36005028500
"Census Tract 286, Bronx County, New York",30.6,32.4,61563,21.6,9.8,1.9,36,005,028600,Bronx,36005028600
"Census Tract 289, Bronx County, New York",41.9,54.9,47361,13.4,11.1,6.0,36,005,028900,Bronx,36005028900
"Census Tract 312, Bronx County, New York",34.5,33.7,62275,4.0,10.4,2.9,36,005,031200,Bronx,36005031200
"Census Tract 189, Bronx County, New York",38.7,52.7,21180,44.1,16.7,5.3,36,005,018900,Bronx,36005018900
"Census Tract 199, Bronx County, New York",39.2,72.1,24914,38.1,13.4,1.6,36,005,019900,Bronx,36005019900
"Census Tract 202, Bronx County, New York",45.7,59.6,38487,25.9,7.0,2.5,36,005,020200,Bronx,36005020200
"Census Tract 206.01, Bronx County, New York",51.2,69.3,76429,16.1,17.2,3.2,36,005,020601,Bronx,36005020601
"Census Tract 211, Bronx County, New York",38.5,60.5,23724,47.7,19.1,4.2,36,005,021100,Bronx,36005021100
"Census Tract 212, Bronx County, New York",40.1,66.1,51443,13.7,14.7,1.7,36,005,021200,Bronx,36005021200
"Census Tract 216.01, Bronx County, New York",46.0,69.4,25847,42.9,19.0,3.2,36,005,021601,Bronx,36005021601
"Census Tract 256, Bronx County, New York",42.5,49.9,37236,27.9,29.1,2.7,36,005,025600,Bronx,36005025600
"Census Tract 227.03, Bronx County, New York",33.4,62.4,45673,27.1,7.7,0.0,36,005,022703,Bronx,36005022703
"Census Tract 237.02, Bronx County, New York",46.0,78.2,32500,35.1,13.8,2.3,36,005,023702,Bronx,36005023702
"Census Tract 240, Bronx County, New York",41.0,62.1,34705,27.9,16.0,2.2,36,005,024000,Bronx,36005024000
"Census Tract 263, Bronx County, New York",45.6,67.3,32663,34.4,13.2,9.3,36,005,026300,Bronx,36005026300
"Census Tract 265, Bronx County, New York",43.3,65.3,31147,32.3,13.0,6.8,36,005,026500,Bronx,36005026500
"Census Tract 281, Bronx County, New York",48.7,58.1,61886,7.6,14.8,3.5,36,005,028100,Bronx,36005028100
"Census Tract 283, Bronx County, New York",38.2,50.6,24759,32.5,12.5,2.9,36,005,028300,Bronx,36005028300
"Census Tract 314, Bronx County, New York",39.7,41.1,83393,5.7,7.7,1.3,36,005,031400,Bronx,36005031400
"Census Tract 328, Bronx County, New York",36.1,52.1,30089,31.7,15.4,1.3,36,005,032800,Bronx,36005032800
"Census Tract 374, Bronx County, New York",43.7,63.9,25974,39.4,18.6,3.6,36,005,037400,Bronx,36005037400
"Census Tract 382, Bronx County, New York",40.3,48.0,46953,22.2,20.0,0.7,36,005,038200,Bronx,36005038200
"Census Tract 23, Bronx County, New York",42.7,74.5,14479,54.2,18.9,4.1,36,005,002300,Bronx,36005002300
"Census Tract 39, Bronx County, New York",42.9,83.6,25990,30.2,9.3,4.8,36,005,003900,Bronx,36005003900
"Census Tract 54, Bronx County, New York",41.3,67.9,27380,41.7,8.9,3.9,36,005,005400,Bronx,36005005400
"Census Tract 62, Bronx County, New York",41.6,66.7,24480,34.7,11.4,7.1,36,005,006200,Bronx,36005006200
"Census Tract 68, Bronx County, New York",42.9,58.5,47232,22.5,12.5,1.1,36,005,006800,Bronx,36005006800
"Census Tract 71, Bronx County, New York",44.4,68.3,38289,28.8,16.5,1.4,36,005,007100,Bronx,36005007100
"Census Tract 86, Bronx County, New York",46.2,61.7,23045,39.1,9.4,0.6,36,005,008600,Bronx,36005008600
"Census Tract 87, Bronx County, New York",44.5,70.7,29188,30.4,8.3,6.0,36,005,008700,Bronx,36005008700
"Census Tract 110, Bronx County, New York",-999999999.0,44.2,-888888888,20.9,12.8,13.7,36,005,011000,Bronx,36005011000
"Census Tract 1181, Queens County, New York",43.0,44.2,66484,11.0,8.7,2.4,36,081,118100,Queens,36081118100
"Census Tract 1205, Queens County, New York",38.7,33.0,24583,28.6,4.6,5.9,36,081,120500,Queens,36081120500
"Census Tract 1265, Queens County, New York",33.9,29.3,43750,18.8,14.2,4.5,36,081,126500,Queens,36081126500
"Census Tract 1267, Queens County, New York",34.8,31.7,72434,14.9,13.7,7.9,36,081,126700,Queens,36081126700
"Census Tract 1339, Queens County, New York",46.0,33.9,101731,10.3,12.1,5.5,36,081,133900,Queens,36081133900
"Census Tract 1463, Queens County, New York",37.2,25.8,79297,9.9,8.0,3.0,36,081,146300,Queens,36081146300
"Census Tract 1, Queens County, New York",30.7,78.5,127807,11.4,3.5,3.2,36,081,000100,Queens,36081000100
"Census Tract 10, Queens County, New York",46.3,56.0,61900,12.4,9.6,2.3,36,081,001000,Queens,36081001000
"Census Tract 32, Queens County, New York",43.3,55.6,69583,14.4,13.7,1.8,36,081,003200,Queens,36081003200
"Census Tract 1571.01, Queens County, New York",43.3,24.2,82004,10.6,5.8,3.2,36,081,157101,Queens,36081157101
"Census Tract 1507.02, Queens County, New York",42.1,27.8,68301,10.1,4.6,5.0,36,081,150702,Queens,36081150702
"Census Tract 1551.01, Queens County, New York",31.4,3.2,58894,2.2,2.3,5.6,36,081,155101,Queens,36081155101
"Census Tract 1571.02, Queens County, New York",38.9,25.1,68846,15.2,12.0,2.3,36,081,157102,Queens,36081157102
"Census Tract 293.01, Bronx County, New York",37.6,41.7,102045,10.4,10.8,9.0,36,005,029301,Bronx,36005029301
"Census Tract 293.02, Bronx County, New York",46.3,38.0,94695,1.4,6.3,6.6,36,005,029302,Bronx,36005029302
"Census Tract 309, Bronx County, New York",45.9,40.8,87238,3.1,5.5,10.3,36,005,030900,Bronx,36005030900
"Census Tract 326, Bronx County, New York",39.8,35.1,56429,6.5,10.7,1.2,36,005,032600,Bronx,36005032600
"Census Tract 332.01, Bronx County, New York",44.4,61.6,43038,22.3,14.8,3.7,36,005,033201,Bronx,36005033201
"Census Tract 307.01, Bronx County, New York",42.8,38.1,80846,7.8,4.4,8.5,36,005,030701,Bronx,36005030701
"Census Tract 332.02, Bronx County, New York",42.1,54.5,40638,23.1,17.3,0.3,36,005,033202,Bronx,36005033202
"Census Tract 335, Bronx County, New York",39.2,43.0,86983,6.5,8.4,7.9,36,005,033500,Bronx,36005033500
"Census Tract 337, Bronx County, New York",43.0,34.4,83917,5.8,8.0,6.0,36,005,033700,Bronx,36005033700
"Census Tract 348, Bronx County, New York",52.5,60.6,36156,21.8,17.7,4.8,36,005,034800,Bronx,36005034800
